time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.384615,0.19150621875,62,32,Track 0,480,239,Cello _ 1
0.76923,0.19150621875000007,66,32,Track 0,960,239,Cello _ 1
1.153845,0.19150621875000007,69,32,Track 0,1440,239,Cello _ 1
0.0,1.53765871875,50,96,Track 0,0,1919,Cello _ 1
1.923075,0.19150621875000007,57,32,Track 0,2400,239,Cello _ 1
2.30769,0.19150621874999985,61,32,Track 0,2880,239,Cello _ 1
2.692305,0.19150621874999985,64,32,Track 0,3360,239,Cello _ 1
1.53846,1.5376587187500002,45,96,Track 0,1920,1919,Cello _ 1
3.461535,0.19150621874999985,59,32,Track 0,4320,239,Cello _ 1
3.84615,0.1915062187500003,62,32,Track 0,4800,239,Cello _ 1
4.230765,0.19150621874999985,66,32,Track 0,5280,239,Cello _ 1
3.07692,1.53765871875,47,96,Track 0,3840,1919,Cello _ 1
4.999995,0.19150621874999985,54,32,Track 0,6240,239,Cello _ 1
5.38461,0.19150621874999985,57,32,Track 0,6720,239,Cello _ 1
5.7692250000000005,0.19150621874999985,61,32,Track 0,7200,239,Cello _ 1
4.61538,1.5376587187500004,42,96,Track 0,5760,1919,Cello _ 1
6.538455,0.19150621874999985,55,32,Track 0,8160,239,Cello _ 1
6.92307,0.19150621874999985,59,32,Track 0,8640,239,Cello _ 1
7.307685,0.19150621874999985,62,32,Track 0,9120,239,Cello _ 1
6.15384,1.5376587187500004,43,96,Track 0,7680,1919,Cello _ 1
8.076915,0.19150621874999985,50,32,Track 0,10080,239,Cello _ 1
8.46153,0.19150621874999985,54,32,Track 0,10560,239,Cello _ 1
8.846145,0.19150621874999985,57,32,Track 0,11040,239,Cello _ 1
7.6923,1.5376587187499995,38,96,Track 0,9600,1919,Cello _ 1
9.615375,0.19150621874999985,55,32,Track 0,12000,239,Cello _ 1
9.99999,0.19150621874999985,59,32,Track 0,12480,239,Cello _ 1
10.384605,0.19150621874999985,62,32,Track 0,12960,239,Cello _ 1
9.23076,1.5376587187500004,43,96,Track 0,11520,1919,Cello _ 1
11.153835,0.19150621874999985,57,32,Track 0,13920,239,Cello _ 1
11.538450000000001,0.19150621874999985,61,32,Track 0,14400,239,Cello _ 1
11.923065000000001,0.19150621874999985,64,32,Track 0,14880,239,Cello _ 1
10.76922,1.5376587187500004,45,96,Track 0,13440,1919,Cello _ 1
12.692295,0.19150621874999985,62,32,Track 0,15840,239,Cello _ 1
13.07691,0.19150621874999985,66,32,Track 0,16320,239,Cello _ 1
13.461525,0.19150621874999985,69,32,Track 0,16800,239,Cello _ 1
12.30768,1.5376587187500004,50,96,Track 0,15360,1919,Cello _ 1
14.230755,0.19150621874999985,57,32,Track 0,17760,239,Cello _ 1
14.61537,0.19150621874999985,61,32,Track 0,18240,239,Cello _ 1
14.999985,0.19150621874999985,64,32,Track 0,18720,239,Cello _ 1
13.84614,1.5376587187500004,45,96,Track 0,17280,1919,Cello _ 1
15.769215,0.19150621874999985,59,32,Track 0,19680,239,Cello _ 1
16.15383,0.19150621874999985,62,32,Track 0,20160,239,Cello _ 1
16.538445,0.19150621874999985,66,32,Track 0,20640,239,Cello _ 1
15.3846,1.5376587187500004,47,96,Track 0,19200,1919,Cello _ 1
17.307675,0.19150621874999985,54,32,Track 0,21600,239,Cello _ 1
17.69229,0.19150621874999985,57,32,Track 0,22080,239,Cello _ 1
18.076905,0.19150621874999985,61,32,Track 0,22560,239,Cello _ 1
16.92306,1.5376587187500022,42,96,Track 0,21120,1919,Cello _ 1
18.846135,0.19150621874999985,55,32,Track 0,23520,239,Cello _ 1
19.23075,0.19150621874999985,59,32,Track 0,24000,239,Cello _ 1
19.615365,0.19150621874999985,62,32,Track 0,24480,239,Cello _ 1
18.46152,1.5376587187499986,43,96,Track 0,23040,1919,Cello _ 1
20.384595,0.19150621874999985,50,32,Track 0,25440,239,Cello _ 1
20.76921,0.19150621874999985,54,32,Track 0,25920,239,Cello _ 1
21.153825,0.19150621874999985,57,32,Track 0,26400,239,Cello _ 1
19.99998,1.5376587187499986,38,96,Track 0,24960,1919,Cello _ 1
21.923055,0.19150621874999985,55,32,Track 0,27360,239,Cello _ 1
22.30767,0.19150621874999985,59,32,Track 0,27840,239,Cello _ 1
22.692285000000002,0.19150621874999985,62,32,Track 0,28320,239,Cello _ 1
21.53844,1.5376587187499986,43,96,Track 0,26880,1919,Cello _ 1
23.461515000000002,0.19150621874999985,57,32,Track 0,29280,239,Cello _ 1
23.846130000000002,0.19150621874999985,61,32,Track 0,29760,239,Cello _ 1
24.230745,0.1915062187500034,64,32,Track 0,30240,239,Cello _ 1
23.076900000000002,1.5376587187499986,45,96,Track 0,28800,1919,Cello _ 1
24.999975,0.19150621874999985,62,32,Track 0,31200,239,Cello _ 1
25.38459,0.19150621874999985,66,32,Track 0,31680,239,Cello _ 1
25.769205,0.19150621874999985,69,32,Track 0,32160,239,Cello _ 1
24.61536,1.5376587187500022,50,96,Track 0,30720,1919,Cello _ 1
26.538435,0.19150621874999985,57,32,Track 0,33120,239,Cello _ 1
26.92305,0.19150621874999985,61,32,Track 0,33600,239,Cello _ 1
27.307665,0.19150621874999985,64,32,Track 0,34080,239,Cello _ 1
26.15382,1.5376587187500022,45,96,Track 0,32640,1919,Cello _ 1
28.076895,0.19150621874999985,59,32,Track 0,35040,239,Cello _ 1
28.46151,0.19150621874999985,62,32,Track 0,35520,239,Cello _ 1
28.846125,0.19150621874999985,66,32,Track 0,36000,239,Cello _ 1
27.69228,1.5376587187500022,47,96,Track 0,34560,1919,Cello _ 1
29.615355,0.19150621874999985,54,32,Track 0,36960,239,Cello _ 1
29.99997,0.19150621874999985,57,32,Track 0,37440,239,Cello _ 1
30.384585,0.19150621874999985,61,32,Track 0,37920,239,Cello _ 1
29.23074,1.5376587187499986,42,96,Track 0,36480,1919,Cello _ 1
31.153815,0.19150621874999985,55,32,Track 0,38880,239,Cello _ 1
31.53843,0.19150621874999985,59,32,Track 0,39360,239,Cello _ 1
31.923045000000002,0.19150621874999985,62,32,Track 0,39840,239,Cello _ 1
30.7692,1.5376587187499986,43,96,Track 0,38400,1919,Cello _ 1
32.692275,0.19150621874999985,50,32,Track 0,40800,239,Cello _ 1
33.07689,0.19150621874999985,54,32,Track 0,41280,239,Cello _ 1
33.461505,0.19150621874999985,57,32,Track 0,41760,239,Cello _ 1
32.30766,1.5376587187500022,38,96,Track 0,40320,1919,Cello _ 1
34.230735,0.19150621874999985,55,32,Track 0,42720,239,Cello _ 1
34.61535,0.19150621874999985,59,32,Track 0,43200,239,Cello _ 1
34.999965,0.19150621874999985,62,32,Track 0,43680,239,Cello _ 1
33.84612,1.5376587187500022,43,96,Track 0,42240,1919,Cello _ 1
35.769195,0.19150621874999985,57,32,Track 0,44640,239,Cello _ 1
