time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.384615,0.19150621875,62,32,Track 0,Cello _ 1,Cello,480,239
0.76923,0.19150621875000007,66,32,Track 0,Cello _ 1,Cello,960,239
1.153845,0.19150621875000007,69,32,Track 0,Cello _ 1,Cello,1440,239
0.0,1.53765871875,50,96,Track 0,Cello _ 1,Cello,0,1919
1.923075,0.19150621875000007,57,32,Track 0,Cello _ 1,Cello,2400,239
2.30769,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,2880,239
2.692305,0.19150621874999985,64,32,Track 0,Cello _ 1,Cello,3360,239
1.53846,1.5376587187500002,45,96,Track 0,Cello _ 1,Cello,1920,1919
3.461535,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,4320,239
3.84615,0.1915062187500003,62,32,Track 0,Cello _ 1,Cello,4800,239
4.230765,0.19150621874999985,66,32,Track 0,Cello _ 1,Cello,5280,239
3.07692,1.53765871875,47,96,Track 0,Cello _ 1,Cello,3840,1919
4.999995,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,6240,239
5.38461,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,6720,239
5.7692250000000005,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,7200,239
4.61538,1.5376587187500004,42,96,Track 0,Cello _ 1,Cello,5760,1919
6.538455,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,8160,239
6.92307,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,8640,239
7.307685,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,9120,239
6.15384,1.5376587187500004,43,96,Track 0,Cello _ 1,Cello,7680,1919
8.076915,0.19150621874999985,50,32,Track 0,Cello _ 1,Cello,10080,239
8.46153,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,10560,239
8.846145,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,11040,239
7.6923,1.5376587187499995,38,96,Track 0,Cello _ 1,Cello,9600,1919
9.615375,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,12000,239
9.99999,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,12480,239
10.384605,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,12960,239
9.23076,1.5376587187500004,43,96,Track 0,Cello _ 1,Cello,11520,1919
11.153835,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,13920,239
11.538450000000001,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,14400,239
11.923065000000001,0.19150621874999985,64,32,Track 0,Cello _ 1,Cello,14880,239
10.76922,1.5376587187500004,45,96,Track 0,Cello _ 1,Cello,13440,1919
12.692295,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,15840,239
13.07691,0.19150621874999985,66,32,Track 0,Cello _ 1,Cello,16320,239
13.461525,0.19150621874999985,69,32,Track 0,Cello _ 1,Cello,16800,239
12.30768,1.5376587187500004,50,96,Track 0,Cello _ 1,Cello,15360,1919
14.230755,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,17760,239
14.61537,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,18240,239
14.999985,0.19150621874999985,64,32,Track 0,Cello _ 1,Cello,18720,239
13.84614,1.5376587187500004,45,96,Track 0,Cello _ 1,Cello,17280,1919
15.769215,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,19680,239
16.15383,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,20160,239
16.538445,0.19150621874999985,66,32,Track 0,Cello _ 1,Cello,20640,239
15.3846,1.5376587187500004,47,96,Track 0,Cello _ 1,Cello,19200,1919
17.307675,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,21600,239
17.69229,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,22080,239
18.076905,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,22560,239
16.92306,1.5376587187500022,42,96,Track 0,Cello _ 1,Cello,21120,1919
18.846135,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,23520,239
19.23075,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,24000,239
19.615365,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,24480,239
18.46152,1.5376587187499986,43,96,Track 0,Cello _ 1,Cello,23040,1919
20.384595,0.19150621874999985,50,32,Track 0,Cello _ 1,Cello,25440,239
20.76921,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,25920,239
21.153825,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,26400,239
19.99998,1.5376587187499986,38,96,Track 0,Cello _ 1,Cello,24960,1919
21.923055,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,27360,239
22.30767,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,27840,239
22.692285000000002,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,28320,239
21.53844,1.5376587187499986,43,96,Track 0,Cello _ 1,Cello,26880,1919
23.461515000000002,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,29280,239
23.846130000000002,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,29760,239
24.230745,0.1915062187500034,64,32,Track 0,Cello _ 1,Cello,30240,239
23.076900000000002,1.5376587187499986,45,96,Track 0,Cello _ 1,Cello,28800,1919
24.999975,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,31200,239
25.38459,0.19150621874999985,66,32,Track 0,Cello _ 1,Cello,31680,239
25.769205,0.19150621874999985,69,32,Track 0,Cello _ 1,Cello,32160,239
24.61536,1.5376587187500022,50,96,Track 0,Cello _ 1,Cello,30720,1919
26.538435,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,33120,239
26.92305,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,33600,239
27.307665,0.19150621874999985,64,32,Track 0,Cello _ 1,Cello,34080,239
26.15382,1.5376587187500022,45,96,Track 0,Cello _ 1,Cello,32640,1919
28.076895,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,35040,239
28.46151,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,35520,239
28.846125,0.19150621874999985,66,32,Track 0,Cello _ 1,Cello,36000,239
27.69228,1.5376587187500022,47,96,Track 0,Cello _ 1,Cello,34560,1919
29.615355,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,36960,239
29.99997,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,37440,239
30.384585,0.19150621874999985,61,32,Track 0,Cello _ 1,Cello,37920,239
29.23074,1.5376587187499986,42,96,Track 0,Cello _ 1,Cello,36480,1919
31.153815,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,38880,239
31.53843,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,39360,239
31.923045000000002,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,39840,239
30.7692,1.5376587187499986,43,96,Track 0,Cello _ 1,Cello,38400,1919
32.692275,0.19150621874999985,50,32,Track 0,Cello _ 1,Cello,40800,239
33.07689,0.19150621874999985,54,32,Track 0,Cello _ 1,Cello,41280,239
33.461505,0.19150621874999985,57,32,Track 0,Cello _ 1,Cello,41760,239
32.30766,1.5376587187500022,38,96,Track 0,Cello _ 1,Cello,40320,1919
34.230735,0.19150621874999985,55,32,Track 0,Cello _ 1,Cello,42720,239
34.61535,0.19150621874999985,59,32,Track 0,Cello _ 1,Cello,43200,239
34.999965,0.19150621874999985,62,32,Track 0,Cello _ 1,Cello,43680,239
33.84612,1.5376587187500022,43,96,Track 0,Cello _ 1,Cello,42240,1919
