time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.2777775,0.46296249999999994,76,60,No 1 Allegro,360,400,Harpsichord _ 1
0.2777775,0.46296249999999994,71,60,No 1 Allegro,360,400,Harpsichord _ 1
0.2777775,0.46296249999999994,68,60,No 1 Allegro,360,400,Harpsichord _ 1
0.2777775,0.46296249999999994,64,60,No 1 Allegro,360,400,Harpsichord _ 1
0.8333325,0.46296249999999994,76,60,No 1 Allegro,840,400,Harpsichord _ 1
0.8333325,0.46296249999999994,71,60,No 1 Allegro,840,400,Harpsichord _ 1
0.8333325,0.46296249999999994,68,60,No 1 Allegro,840,400,Harpsichord _ 1
0.8333325,0.46296249999999994,64,60,No 1 Allegro,840,400,Harpsichord _ 1
1.3888875,0.2719904687499999,76,60,No 1 Allegro,1320,235,Harpsichord _ 1
1.3888875,0.2719904687499999,71,60,No 1 Allegro,1320,235,Harpsichord _ 1
1.3888875,0.2719904687499999,68,60,No 1 Allegro,1320,235,Harpsichord _ 1
1.3888875,0.2719904687499999,64,60,No 1 Allegro,1320,235,Harpsichord _ 1
1.666665,0.09259249999999986,68,75,No 1 Allegro,1560,80,Harpsichord _ 1
1.80555375,0.09259249999999986,69,75,No 1 Allegro,1680,80,Harpsichord _ 1
1.9444425,0.46296250000000017,71,75,No 1 Allegro,1800,400,Harpsichord _ 1
2.4999975,0.4629624999999997,76,60,No 1 Allegro,2280,400,Harpsichord _ 1
2.4999975,0.4629624999999997,71,60,No 1 Allegro,2280,400,Harpsichord _ 1
2.4999975,0.4629624999999997,68,60,No 1 Allegro,2280,400,Harpsichord _ 1
2.4999975,0.4629624999999997,64,60,No 1 Allegro,2280,400,Harpsichord _ 1
3.0555525,0.4629624999999997,76,60,No 1 Allegro,2760,400,Harpsichord _ 1
3.0555525,0.4629624999999997,71,60,No 1 Allegro,2760,400,Harpsichord _ 1
3.0555525,0.4629624999999997,68,60,No 1 Allegro,2760,400,Harpsichord _ 1
3.0555525,0.4629624999999997,64,60,No 1 Allegro,2760,400,Harpsichord _ 1
3.6111075,0.2719904687500003,76,60,No 1 Allegro,3240,235,Harpsichord _ 1
3.6111075,0.2719904687500003,71,60,No 1 Allegro,3240,235,Harpsichord _ 1
3.6111075,0.2719904687500003,68,60,No 1 Allegro,3240,235,Harpsichord _ 1
3.6111075,0.2719904687500003,64,60,No 1 Allegro,3240,235,Harpsichord _ 1
3.888885,0.0925925000000003,71,75,No 1 Allegro,3480,80,Harpsichord _ 1
4.02777375,0.0925925000000003,69,75,No 1 Allegro,3600,80,Harpsichord _ 1
4.1666625,0.4629624999999997,68,75,No 1 Allegro,3720,400,Harpsichord _ 1
4.7222175,0.4629624999999997,76,60,No 1 Allegro,4200,400,Harpsichord _ 1
4.7222175,0.4629624999999997,71,60,No 1 Allegro,4200,400,Harpsichord _ 1
4.7222175,0.4629624999999997,68,60,No 1 Allegro,4200,400,Harpsichord _ 1
4.7222175,0.4629624999999997,64,60,No 1 Allegro,4200,400,Harpsichord _ 1
5.2777725,0.0925925000000003,78,60,No 1 Allegro,4680,80,Harpsichord _ 1
5.2777725,0.0925925000000003,69,60,No 1 Allegro,4680,80,Harpsichord _ 1
5.55555,0.0925925000000003,76,56,No 1 Allegro,4920,80,Harpsichord _ 1
