time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.2777775,0.46296249999999994,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,360,400
0.2777775,0.46296249999999994,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,360,400
0.2777775,0.46296249999999994,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,360,400
0.2777775,0.46296249999999994,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,360,400
0.8333325,0.46296249999999994,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,840,400
0.8333325,0.46296249999999994,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,840,400
0.8333325,0.46296249999999994,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,840,400
0.8333325,0.46296249999999994,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,840,400
1.3888875,0.2719904687499999,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1320,235
1.3888875,0.2719904687499999,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1320,235
1.3888875,0.2719904687499999,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1320,235
1.3888875,0.2719904687499999,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1320,235
1.666665,0.09259249999999986,68,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1560,80
1.80555375,0.09259249999999986,69,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1680,80
1.9444425,0.46296250000000017,71,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,1800,400
2.4999975,0.4629624999999997,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2280,400
2.4999975,0.4629624999999997,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2280,400
2.4999975,0.4629624999999997,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2280,400
2.4999975,0.4629624999999997,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2280,400
3.0555525,0.4629624999999997,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2760,400
3.0555525,0.4629624999999997,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2760,400
3.0555525,0.4629624999999997,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2760,400
3.0555525,0.4629624999999997,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,2760,400
3.6111075,0.2719904687500003,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3240,235
3.6111075,0.2719904687500003,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3240,235
3.6111075,0.2719904687500003,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3240,235
3.6111075,0.2719904687500003,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3240,235
3.888885,0.0925925000000003,71,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3480,80
4.02777375,0.0925925000000003,69,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3600,80
4.1666625,0.4629624999999997,68,75,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,3720,400
4.7222175,0.4629624999999997,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4200,400
4.7222175,0.4629624999999997,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4200,400
4.7222175,0.4629624999999997,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4200,400
4.7222175,0.4629624999999997,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4200,400
5.2777725,0.0925925000000003,78,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4680,80
5.2777725,0.0925925000000003,69,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4680,80
5.55555,0.0925925000000003,76,56,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4920,80
5.55555,0.0925925000000003,68,56,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,4920,80
5.8333275,0.4629624999999997,75,51,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,5160,400
5.8333275,0.4629624999999997,66,51,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,5160,400
6.9791596875,0.4629624999999997,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6150,400
6.9791596875,0.4629624999999997,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6150,400
6.9791596875,0.4629624999999997,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6150,400
6.9791596875,0.4629624999999997,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6150,400
7.5347146875,0.46296249999999883,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6630,400
7.5347146875,0.46296249999999883,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6630,400
7.5347146875,0.46296249999999883,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6630,400
7.5347146875,0.46296249999999883,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,6630,400
8.0902696875,0.2719904687500012,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7110,235
8.0902696875,0.2719904687500012,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7110,235
8.0902696875,0.2719904687500012,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7110,235
8.0902696875,0.2719904687500012,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7110,235
8.3680471875,0.0925925000000003,68,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7350,80
8.5069359375,0.0925925000000003,69,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7470,80
8.6458246875,0.4629625000000015,71,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,7590,400
9.2013796875,0.4629625000000015,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8070,400
9.2013796875,0.4629625000000015,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8070,400
9.2013796875,0.4629625000000015,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8070,400
9.2013796875,0.4629625000000015,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8070,400
9.7569346875,0.4629625000000015,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8550,400
9.7569346875,0.4629625000000015,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8550,400
9.7569346875,0.4629625000000015,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8550,400
9.7569346875,0.4629625000000015,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,8550,400
10.3124896875,0.2719904687500012,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9030,235
10.3124896875,0.2719904687500012,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9030,235
10.3124896875,0.2719904687500012,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9030,235
10.3124896875,0.2719904687500012,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9030,235
10.5902671875,0.0925925000000003,71,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9270,80
10.7291559375,0.0925925000000003,69,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9390,80
10.8680446875,0.4629625000000015,71,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9510,400
11.4235996875,0.4629625000000015,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9990,400
11.4235996875,0.4629625000000015,71,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9990,400
11.4235996875,0.4629625000000015,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9990,400
11.4235996875,0.4629625000000015,64,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,9990,400
11.9791546875,0.0925925000000003,78,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10470,80
11.9791546875,0.0925925000000003,69,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10470,80
12.2569321875,0.0925925000000003,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10710,80
12.2569321875,0.0925925000000003,68,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10710,80
12.5347096875,0.4629625000000015,75,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10950,400
12.5347096875,0.4629625000000015,66,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,10950,400
13.7152640625,0.4629625000000015,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,11970,400
13.7152640625,0.4629625000000015,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,11970,400
13.7152640625,0.4629625000000015,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,11970,400
13.7152640625,0.4629625000000015,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,11970,400
14.2708190625,0.4629625000000015,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12450,400
14.2708190625,0.4629625000000015,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12450,400
14.2708190625,0.4629625000000015,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12450,400
14.2708190625,0.4629625000000015,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12450,400
14.8263740625,0.2719904687500012,76,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12930,235
14.8263740625,0.2719904687500012,71,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12930,235
14.8263740625,0.2719904687500012,68,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12930,235
14.8263740625,0.2719904687500012,64,60,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,12930,235
15.1041515625,0.0925925000000003,71,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13170,80
15.1041515625,0.0925925000000003,68,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13170,80
15.2430403125,0.0925925000000003,73,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13290,80
15.2430403125,0.0925925000000003,69,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13290,80
15.3819290625,0.4629625000000015,71,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13410,400
15.3819290625,0.4629625000000015,68,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13410,400
15.3819290625,0.4629625000000015,59,45,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13410,400
15.937484062499998,0.4629625000000033,76,30,No 1 Allegro,Harpsichord _ 1,Harpsichord 1,13890,400
