time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.6,2.399375,67,64,Track 1,1920,3839,Vibraphone _ 1
0.6,2.399375,79,80,Track 1,1920,3839,Vibraphone _ 1
3.0,2.3993750000000005,65,64,Track 1,5760,3839,Vibraphone _ 1
3.0,2.3993750000000005,77,80,Track 1,5760,3839,Vibraphone _ 1
5.4,4.7993749999999995,65,64,Track 1,9600,7679,Vibraphone _ 1
5.4,4.7993749999999995,77,80,Track 1,9600,7679,Vibraphone _ 1
10.200000000000001,2.399374999999999,67,64,Track 1,17280,3839,Vibraphone _ 1
10.200000000000001,2.399374999999999,79,80,Track 1,17280,3839,Vibraphone _ 1
12.600000000000001,2.0993749999999984,65,64,Track 1,21120,3359,Vibraphone _ 1
12.600000000000001,2.0993749999999984,77,80,Track 1,21120,3359,Vibraphone _ 1
15.0,0.14937500000000092,67,80,Track 1,24960,239,Vibraphone _ 1
15.15,0.14937500000000092,69,80,Track 1,25200,239,Vibraphone _ 1
15.3,0.14937500000000092,70,80,Track 1,25440,239,Vibraphone _ 1
16.049999999999997,0.1493750000000027,67,80,Track 1,26640,239,Vibraphone _ 1
16.2,0.14937499999999915,69,80,Track 1,26880,239,Vibraphone _ 1
16.349999999999998,0.1493750000000027,70,80,Track 1,27120,239,Vibraphone _ 1
16.5,0.14937499999999915,74,80,Track 1,27360,239,Vibraphone _ 1
17.099999999999998,0.1493750000000027,70,80,Track 1,28320,239,Vibraphone _ 1
17.25,0.14937499999999915,74,80,Track 1,28560,239,Vibraphone _ 1
17.4,0.14937499999999915,77,80,Track 1,28800,239,Vibraphone _ 1
17.849999999999998,0.1493750000000027,70,80,Track 1,29520,239,Vibraphone _ 1
18.0,0.14937499999999915,74,80,Track 1,29760,239,Vibraphone _ 1
18.15,0.14937499999999915,77,80,Track 1,30000,239,Vibraphone _ 1
18.3,0.14937499999999915,79,80,Track 1,30240,239,Vibraphone _ 1
18.9,0.14937499999999915,81,80,Track 1,31200,239,Vibraphone _ 1
19.05,0.14937499999999915,79,80,Track 1,31440,239,Vibraphone _ 1
19.2,0.14937499999999915,74,112,Track 1,31680,239,Vibraphone _ 1
19.5,0.14937499999999915,67,112,Track 1,32160,239,Vibraphone _ 1
19.65,0.14937499999999915,69,112,Track 1,32400,239,Vibraphone _ 1
19.8,0.14937499999999915,70,112,Track 1,32640,239,Vibraphone _ 1
20.099999999999998,0.1493750000000027,74,112,Track 1,33120,239,Vibraphone _ 1
20.25,0.14937499999999915,72,112,Track 1,33360,239,Vibraphone _ 1
20.55,0.14937499999999915,77,112,Track 1,33840,239,Vibraphone _ 1
20.849999999999998,0.1493750000000027,74,112,Track 1,34320,239,Vibraphone _ 1
21.0,0.14937499999999915,79,112,Track 1,34560,239,Vibraphone _ 1
21.3,0.14937499999999915,81,112,Track 1,35040,239,Vibraphone _ 1
21.45,0.14937499999999915,79,112,Track 1,35280,239,Vibraphone _ 1
21.599999999999998,0.1493750000000027,74,112,Track 1,35520,239,Vibraphone _ 1
21.9,0.14937499999999915,67,112,Track 1,36000,239,Vibraphone _ 1
22.05,0.14937499999999915,69,112,Track 1,36240,239,Vibraphone _ 1
22.2,0.14937499999999915,70,112,Track 1,36480,239,Vibraphone _ 1
22.5,0.14937499999999915,74,112,Track 1,36960,239,Vibraphone _ 1
22.65,0.14937499999999915,72,112,Track 1,37200,239,Vibraphone _ 1
22.95,0.14937499999999915,77,112,Track 1,37680,239,Vibraphone _ 1
23.25,0.14937499999999915,70,112,Track 1,38160,239,Vibraphone _ 1
23.4,0.14937499999999915,69,112,Track 1,38400,239,Vibraphone _ 1
24.3,0.14937499999999915,67,112,Track 1,39840,239,Vibraphone _ 1
24.45,0.14937499999999915,69,112,Track 1,40080,239,Vibraphone _ 1
24.599999999999998,0.1493750000000027,70,112,Track 1,40320,239,Vibraphone _ 1
24.9,0.14937499999999915,74,112,Track 1,40800,239,Vibraphone _ 1
25.05,0.14937499999999915,72,112,Track 1,41040,239,Vibraphone _ 1
25.349999999999998,0.1493750000000027,77,112,Track 1,41520,239,Vibraphone _ 1
25.65,0.14937499999999915,74,112,Track 1,42000,239,Vibraphone _ 1
25.8,0.14937499999999915,79,112,Track 1,42240,239,Vibraphone _ 1
26.099999999999998,0.1493750000000027,81,112,Track 1,42720,239,Vibraphone _ 1
26.25,0.14937499999999915,79,112,Track 1,42960,239,Vibraphone _ 1
26.4,0.14937499999999915,74,112,Track 1,43200,239,Vibraphone _ 1
26.7,0.14937499999999915,67,112,Track 1,43680,239,Vibraphone _ 1
26.849999999999998,0.1493750000000027,69,112,Track 1,43920,239,Vibraphone _ 1
27.0,0.14937499999999915,70,112,Track 1,44160,239,Vibraphone _ 1
27.3,0.14937499999999915,74,112,Track 1,44640,239,Vibraphone _ 1
27.45,0.14937499999999915,72,112,Track 1,44880,239,Vibraphone _ 1
27.75,0.14937499999999915,77,112,Track 1,45360,239,Vibraphone _ 1
28.05,0.14937499999999915,70,112,Track 1,45840,239,Vibraphone _ 1
28.2,0.14937499999999915,69,112,Track 1,46080,239,Vibraphone _ 1
28.5,0.14937499999999915,74,112,Track 1,46560,239,Vibraphone _ 1
28.65,0.14937499999999915,77,112,Track 1,46800,239,Vibraphone _ 1
28.8,2.399374999999999,67,64,Track 1,47040,3839,Vibraphone _ 1
28.8,2.399374999999999,79,64,Track 1,47040,3839,Vibraphone _ 1
31.2,2.3993750000000027,67,64,Track 1,50880,3839,Vibraphone _ 1
31.2,2.3993750000000027,74,64,Track 1,50880,3839,Vibraphone _ 1
33.6,1.1956249999999997,67,64,Track 1,54720,1913,Vibraphone _ 1
33.6,1.1956249999999997,79,64,Track 1,54720,1913,Vibraphone _ 1
0.6,2.399375,62,80,Track 2,1920,3839,Vibraphone _ 2
0.6,2.399375,70,80,Track 2,1920,3839,Vibraphone _ 2
3.0,2.3993750000000005,67,80,Track 2,5760,3839,Vibraphone _ 2
3.0,2.3993750000000005,72,80,Track 2,5760,3839,Vibraphone _ 2
5.4,4.7993749999999995,67,80,Track 2,9600,7679,Vibraphone _ 2
5.4,4.7993749999999995,74,80,Track 2,9600,7679,Vibraphone _ 2
10.200000000000001,2.399374999999999,65,80,Track 2,17280,3839,Vibraphone _ 2
10.200000000000001,2.399374999999999,74,80,Track 2,17280,3839,Vibraphone _ 2
12.600000000000001,2.0993749999999984,65,80,Track 2,21120,3359,Vibraphone _ 2
12.600000000000001,2.0993749999999984,72,80,Track 2,21120,3359,Vibraphone _ 2
14.700000000000001,0.14937499999999915,67,80,Track 2,24480,239,Vibraphone _ 2
14.850000000000001,0.14937499999999915,69,80,Track 2,24720,239,Vibraphone _ 2
15.0,0.14937500000000092,70,80,Track 2,24960,239,Vibraphone _ 2
15.750000000000002,0.14937499999999915,67,80,Track 2,26160,239,Vibraphone _ 2
15.9,0.14937499999999915,69,80,Track 2,26400,239,Vibraphone _ 2
16.049999999999997,0.1493750000000027,70,80,Track 2,26640,239,Vibraphone _ 2
16.2,0.14937499999999915,74,80,Track 2,26880,239,Vibraphone _ 2
16.8,0.14937499999999915,70,80,Track 2,27840,239,Vibraphone _ 2
16.95,0.14937499999999915,74,80,Track 2,28080,239,Vibraphone _ 2
17.099999999999998,0.1493750000000027,77,80,Track 2,28320,239,Vibraphone _ 2
17.55,0.14937499999999915,70,80,Track 2,29040,239,Vibraphone _ 2
17.7,0.14937499999999915,74,80,Track 2,29280,239,Vibraphone _ 2
17.849999999999998,0.1493750000000027,77,80,Track 2,29520,239,Vibraphone _ 2
18.0,0.14937499999999915,79,80,Track 2,29760,239,Vibraphone _ 2
18.599999999999998,0.1493750000000027,81,80,Track 2,30720,239,Vibraphone _ 2
18.75,0.14937499999999915,79,80,Track 2,30960,239,Vibraphone _ 2
18.9,0.14937499999999915,81,80,Track 2,31200,239,Vibraphone _ 2
19.2,0.14937499999999915,67,112,Track 2,31680,239,Vibraphone _ 2
