time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.0,0.125,64,80,Track 0,0,96,Acoustic Grand Piano _ 1
0.125,0.125,66,80,Track 0,96,96,Acoustic Grand Piano _ 1
0.25,0.125,71,80,Track 0,192,96,Acoustic Grand Piano _ 1
0.375,0.125,73,80,Track 0,288,96,Acoustic Grand Piano _ 1
0.5,0.125,74,80,Track 0,384,96,Acoustic Grand Piano _ 1
0.625,0.125,66,80,Track 0,480,96,Acoustic Grand Piano _ 1
0.75,0.125,64,80,Track 0,576,96,Acoustic Grand Piano _ 1
0.875,0.125,73,80,Track 0,672,96,Acoustic Grand Piano _ 1
1.0,0.125,71,80,Track 0,768,96,Acoustic Grand Piano _ 1
1.125,0.125,66,80,Track 0,864,96,Acoustic Grand Piano _ 1
1.25,0.125,74,80,Track 0,960,96,Acoustic Grand Piano _ 1
1.375,0.125,73,80,Track 0,1056,96,Acoustic Grand Piano _ 1
1.5,0.125,64,80,Track 0,1152,96,Acoustic Grand Piano _ 1
1.625,0.125,66,80,Track 0,1248,96,Acoustic Grand Piano _ 1
1.75,0.125,71,80,Track 0,1344,96,Acoustic Grand Piano _ 1
1.875,0.125,73,80,Track 0,1440,96,Acoustic Grand Piano _ 1
2.0,0.125,74,80,Track 0,1536,96,Acoustic Grand Piano _ 1
2.125,0.125,66,80,Track 0,1632,96,Acoustic Grand Piano _ 1
2.25,0.125,64,80,Track 0,1728,96,Acoustic Grand Piano _ 1
2.375,0.125,73,80,Track 0,1824,96,Acoustic Grand Piano _ 1
2.5,0.125,71,80,Track 0,1920,96,Acoustic Grand Piano _ 1
2.625,0.125,66,80,Track 0,2016,96,Acoustic Grand Piano _ 1
2.75,0.125,74,80,Track 0,2112,96,Acoustic Grand Piano _ 1
2.875,0.125,73,80,Track 0,2208,96,Acoustic Grand Piano _ 1
3.0,0.125,64,80,Track 0,2304,96,Acoustic Grand Piano _ 1
3.125,0.125,66,80,Track 0,2400,96,Acoustic Grand Piano _ 1
3.25,0.125,71,80,Track 0,2496,96,Acoustic Grand Piano _ 1
3.375,0.125,73,80,Track 0,2592,96,Acoustic Grand Piano _ 1
3.5,0.125,74,80,Track 0,2688,96,Acoustic Grand Piano _ 1
3.625,0.125,66,80,Track 0,2784,96,Acoustic Grand Piano _ 1
3.75,0.125,64,80,Track 0,2880,96,Acoustic Grand Piano _ 1
3.875,0.125,73,80,Track 0,2976,96,Acoustic Grand Piano _ 1
4.0,0.125,71,80,Track 0,3072,96,Acoustic Grand Piano _ 1
4.125,0.125,66,80,Track 0,3168,96,Acoustic Grand Piano _ 1
4.25,0.125,74,80,Track 0,3264,96,Acoustic Grand Piano _ 1
4.375,0.125,73,80,Track 0,3360,96,Acoustic Grand Piano _ 1
4.5,0.125,64,80,Track 0,3456,96,Acoustic Grand Piano _ 1
4.625,0.125,66,80,Track 0,3552,96,Acoustic Grand Piano _ 1
4.75,0.125,71,80,Track 0,3648,96,Acoustic Grand Piano _ 1
4.875,0.125,73,80,Track 0,3744,96,Acoustic Grand Piano _ 1
5.0,0.125,74,80,Track 0,3840,96,Acoustic Grand Piano _ 1
5.125,0.125,66,80,Track 0,3936,96,Acoustic Grand Piano _ 1
5.25,0.125,64,80,Track 0,4032,96,Acoustic Grand Piano _ 1
5.375,0.125,73,80,Track 0,4128,96,Acoustic Grand Piano _ 1
5.5,0.125,71,80,Track 0,4224,96,Acoustic Grand Piano _ 1
5.625,0.125,66,80,Track 0,4320,96,Acoustic Grand Piano _ 1
5.75,0.125,74,80,Track 0,4416,96,Acoustic Grand Piano _ 1
5.875,0.125,73,80,Track 0,4512,96,Acoustic Grand Piano _ 1
6.0,0.125,64,80,Track 0,4608,96,Acoustic Grand Piano _ 1
6.125,0.125,66,80,Track 0,4704,96,Acoustic Grand Piano _ 1
6.25,0.125,71,80,Track 0,4800,96,Acoustic Grand Piano _ 1
6.375,0.125,73,80,Track 0,4896,96,Acoustic Grand Piano _ 1
6.5,0.125,74,80,Track 0,4992,96,Acoustic Grand Piano _ 1
6.625,0.125,66,80,Track 0,5088,96,Acoustic Grand Piano _ 1
6.75,0.125,64,80,Track 0,5184,96,Acoustic Grand Piano _ 1
6.875,0.125,73,80,Track 0,5280,96,Acoustic Grand Piano _ 1
7.0,0.125,71,80,Track 0,5376,96,Acoustic Grand Piano _ 1
7.125,0.125,66,80,Track 0,5472,96,Acoustic Grand Piano _ 1
7.25,0.125,74,80,Track 0,5568,96,Acoustic Grand Piano _ 1
7.375,0.125,73,80,Track 0,5664,96,Acoustic Grand Piano _ 1
7.5,0.125,64,80,Track 0,5760,96,Acoustic Grand Piano _ 1
7.625,0.125,66,80,Track 0,5856,96,Acoustic Grand Piano _ 1
