time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.0,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,0,96
0.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,96,96
0.25,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,192,96
0.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,288,96
0.5,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,384,96
0.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,480,96
0.75,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,576,96
0.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,672,96
1.0,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,768,96
1.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,864,96
1.25,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,960,96
1.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1056,96
1.5,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1152,96
1.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1248,96
1.75,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1344,96
1.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1440,96
2.0,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1536,96
2.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1632,96
2.25,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1728,96
2.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1824,96
2.5,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1920,96
2.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2016,96
2.75,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2112,96
2.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2208,96
3.0,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2304,96
3.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2400,96
3.25,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2496,96
3.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2592,96
3.5,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2688,96
3.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2784,96
3.75,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2880,96
3.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2976,96
4.0,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3072,96
4.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3168,96
4.25,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3264,96
4.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3360,96
4.5,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3456,96
4.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3552,96
4.75,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3648,96
4.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3744,96
5.0,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3840,96
5.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,3936,96
5.25,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4032,96
5.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4128,96
5.5,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4224,96
5.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4320,96
5.75,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4416,96
5.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4512,96
6.0,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4608,96
6.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4704,96
6.25,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4800,96
6.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4896,96
6.5,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,4992,96
6.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5088,96
6.75,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5184,96
6.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5280,96
7.0,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5376,96
7.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5472,96
7.25,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5568,96
7.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5664,96
7.5,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5760,96
7.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5856,96
7.75,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,5952,96
7.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6048,96
8.0,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6144,96
8.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6240,96
8.25,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6336,96
8.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6432,96
8.5,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6528,96
8.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6624,96
8.75,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6720,96
8.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6816,96
9.0,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,6912,96
9.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7008,96
9.25,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7104,96
9.375,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7200,96
9.5,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7296,96
9.625,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7392,96
9.75,0.125,64,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7488,96
9.875,0.125,73,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7584,96
10.0,0.125,71,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7680,96
10.125,0.125,66,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7776,96
10.25,0.125,74,80,Track 0,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,7872,96
