time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.0,0.25,72,32,Track 0,0,48,Acoustic Grand Piano _ 1
0.25,0.25,72,32,Track 0,48,48,Acoustic Grand Piano _ 1
0.5,0.25,72,32,Track 0,96,48,Acoustic Grand Piano _ 1
0.75,0.25,72,32,Track 0,144,48,Acoustic Grand Piano _ 1
1.0,0.25,72,32,Track 0,192,48,Acoustic Grand Piano _ 1
1.25,0.25,72,32,Track 0,240,48,Acoustic Grand Piano _ 1
1.5,0.25,72,32,Track 0,288,48,Acoustic Grand Piano _ 1
1.75,0.25,72,32,Track 0,336,48,Acoustic Grand Piano _ 1
2.0,0.25,72,32,Track 0,384,48,Acoustic Grand Piano _ 1
2.25,0.25,72,32,Track 0,432,48,Acoustic Grand Piano _ 1
2.5,0.25,72,32,Track 0,480,48,Acoustic Grand Piano _ 1
2.75,0.25,72,32,Track 0,528,48,Acoustic Grand Piano _ 1
3.0,0.25,72,32,Track 0,576,48,Acoustic Grand Piano _ 1
3.25,0.25,72,32,Track 0,624,48,Acoustic Grand Piano _ 1
3.5,0.25,72,32,Track 0,672,48,Acoustic Grand Piano _ 1
3.75,0.25,72,32,Track 0,720,48,Acoustic Grand Piano _ 1
4.0,0.25,72,32,Track 0,768,48,Acoustic Grand Piano _ 1
4.25,0.25,72,32,Track 0,816,48,Acoustic Grand Piano _ 1
4.5,0.25,72,32,Track 0,864,48,Acoustic Grand Piano _ 1
4.75,0.25,72,32,Track 0,912,48,Acoustic Grand Piano _ 1
5.0,0.25,72,32,Track 0,960,48,Acoustic Grand Piano _ 1
5.25,0.25,72,32,Track 0,1008,48,Acoustic Grand Piano _ 1
5.5,0.25,72,32,Track 0,1056,48,Acoustic Grand Piano _ 1
5.75,0.25,72,32,Track 0,1104,48,Acoustic Grand Piano _ 1
6.0,0.25,72,32,Track 0,1152,48,Acoustic Grand Piano _ 1
6.25,0.25,72,32,Track 0,1200,48,Acoustic Grand Piano _ 1
6.5,0.25,72,32,Track 0,1248,48,Acoustic Grand Piano _ 1
6.75,0.25,72,32,Track 0,1296,48,Acoustic Grand Piano _ 1
7.0,0.25,72,32,Track 0,1344,48,Acoustic Grand Piano _ 1
7.25,0.25,72,32,Track 0,1392,48,Acoustic Grand Piano _ 1
7.5,0.25,72,32,Track 0,1440,48,Acoustic Grand Piano _ 1
