time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.0,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,1920,240
0.234375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,2160,240
0.46875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,2400,240
0.703125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,2640,240
0.9375,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,2880,240
1.171875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,3120,240
1.40625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,3360,240
1.640625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,3600,240
1.875,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,3840,240
2.109375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,4080,240
2.34375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,4320,240
2.578125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,4560,240
2.8125,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,4800,240
3.046875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,5040,240
3.28125,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,5280,240
3.515625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,5520,240
3.75,0.234375,63,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,5760,240
3.984375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,6000,240
4.21875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,6240,240
4.453125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,6480,240
4.6875,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,6720,240
4.921875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,6960,240
5.15625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,7200,240
5.390625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,7440,240
5.625,0.234375,63,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,7680,240
5.859375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,7920,240
6.09375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,8160,240
6.328125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,8400,240
6.5625,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,8640,240
6.796875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,8880,240
7.03125,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,9120,240
7.265625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,9360,240
7.5,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,9600,240
7.734375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,9840,240
7.96875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,10080,240
8.203125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,10320,240
8.4375,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,10560,240
8.671875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,10800,240
8.90625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,11040,240
9.140625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,11280,240
9.375,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,11520,240
9.609375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,11760,240
9.84375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,12000,240
10.078125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,12240,240
10.3125,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,12480,240
10.546875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,12720,240
10.78125,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,12960,240
11.015625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,13200,240
11.25,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,13440,240
11.484375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,13680,240
11.71875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,13920,240
11.953125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,14160,240
12.1875,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,14400,240
12.421875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,14640,240
12.65625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,14880,240
12.890625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,15120,240
13.125,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,15360,240
13.359375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,15600,240
13.59375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,15840,240
13.828125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,16080,240
14.0625,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,16320,240
14.296875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,16560,240
14.53125,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,16800,240
14.765625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,17040,240
15.0,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,17280,240
15.234375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,17520,240
15.46875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,17760,240
15.703125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,18000,240
15.9375,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,18240,240
16.171875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,18480,240
16.40625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,18720,240
16.640625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,18960,240
16.875,0.234375,61,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,19200,240
17.109375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,19440,240
17.34375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,19680,240
17.578125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,19920,240
17.8125,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,20160,240
18.046875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,20400,240
18.28125,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,20640,240
18.515625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,20880,240
18.75,0.234375,63,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,21120,240
18.984375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,21360,240
19.21875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,21600,240
19.453125,0.234375,66,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,21840,240
19.6875,0.234375,78,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,22080,240
19.921875,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,22320,240
20.15625,0.234375,77,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,22560,240
20.390625,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,22800,240
20.625,0.234375,63,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,23040,240
20.859375,0.234375,73,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,23280,240
21.09375,0.234375,68,102,Lead Guitar,Distortion Guitar _ 1,Distortion Guitar _ 1,23520,240
