time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
56.246399999999994,0.062496000000002994,71,101,Guitar,23040,24,Electric Guitar (muted) _ 1
56.246399999999994,0.0677040000000062,64,103,Guitar,23040,26,Electric Guitar (muted) _ 1
56.246399999999994,0.07291200000000231,62,104,Guitar,23040,28,Electric Guitar (muted) _ 1
56.246399999999994,0.07291200000000231,67,104,Guitar,23040,28,Electric Guitar (muted) _ 1
56.371392,0.0677039999999991,62,120,Guitar,23088,26,Electric Guitar (muted) _ 1
56.371392,0.0729119999999952,67,120,Guitar,23088,28,Electric Guitar (muted) _ 1
56.371392,0.0729119999999952,71,120,Guitar,23088,28,Electric Guitar (muted) _ 1
56.371392,0.08332799999999452,64,120,Guitar,23088,32,Electric Guitar (muted) _ 1
56.496384,0.04166399999999726,62,84,Guitar,23136,16,Electric Guitar (muted) _ 1
56.496384,0.04687200000000047,64,84,Guitar,23136,18,Electric Guitar (muted) _ 1
56.621376,0.04166399999999726,62,94,Guitar,23184,16,Electric Guitar (muted) _ 1
56.621376,0.052079999999996573,64,94,Guitar,23184,20,Electric Guitar (muted) _ 1
56.746368,0.062496000000002994,71,108,Guitar,23232,24,Electric Guitar (muted) _ 1
56.746368,0.07291200000000231,67,108,Guitar,23232,28,Electric Guitar (muted) _ 1
56.746368,0.07811999999999841,62,103,Guitar,23232,30,Electric Guitar (muted) _ 1
56.746368,0.07811999999999841,64,100,Guitar,23232,30,Electric Guitar (muted) _ 1
56.871359999999996,0.07291200000000231,62,120,Guitar,23280,28,Electric Guitar (muted) _ 1
56.871359999999996,0.07811999999999841,67,120,Guitar,23280,30,Electric Guitar (muted) _ 1
56.871359999999996,0.07811999999999841,71,120,Guitar,23280,30,Electric Guitar (muted) _ 1
56.871359999999996,0.08332800000000162,64,120,Guitar,23280,32,Electric Guitar (muted) _ 1
56.996351999999995,0.062496000000002994,64,97,Guitar,23328,24,Electric Guitar (muted) _ 1
56.996351999999995,0.07291200000000231,62,97,Guitar,23328,28,Electric Guitar (muted) _ 1
57.246336,0.052079999999996573,62,105,Guitar,23424,20,Electric Guitar (muted) _ 1
57.246336,0.057287999999999784,64,104,Guitar,23424,22,Electric Guitar (muted) _ 1
57.246336,0.06249599999999589,71,105,Guitar,23424,24,Electric Guitar (muted) _ 1
57.246336,0.0677039999999991,67,111,Guitar,23424,26,Electric Guitar (muted) _ 1
57.371328,0.07811999999999841,67,120,Guitar,23472,30,Electric Guitar (muted) _ 1
57.371328,0.08853599999999773,64,120,Guitar,23472,34,Electric Guitar (muted) _ 1
57.371328,0.09374400000000094,62,120,Guitar,23472,36,Electric Guitar (muted) _ 1
57.371328,0.09374400000000094,71,120,Guitar,23472,36,Electric Guitar (muted) _ 1
57.49632,0.11457599999999957,62,103,Guitar,23520,44,Electric Guitar (muted) _ 1
57.49632,0.11978400000000278,64,101,Guitar,23520,46,Electric Guitar (muted) _ 1
57.621311999999996,0.08853600000000483,62,120,Guitar,23568,34,Electric Guitar (muted) _ 1
57.621311999999996,0.08853600000000483,64,120,Guitar,23568,34,Electric Guitar (muted) _ 1
57.621311999999996,0.09374400000000094,67,120,Guitar,23568,36,Electric Guitar (muted) _ 1
57.621311999999996,0.09895200000000415,71,120,Guitar,23568,38,Electric Guitar (muted) _ 1
57.871296,0.11457599999999957,67,120,Guitar,23664,44,Electric Guitar (muted) _ 1
57.871296,0.11978399999999567,62,120,Guitar,23664,46,Electric Guitar (muted) _ 1
57.871296,0.12499199999999888,64,120,Guitar,23664,48,Electric Guitar (muted) _ 1
57.871296,0.130199999999995,71,120,Guitar,23664,50,Electric Guitar (muted) _ 1
58.12128,0.052079999999996573,62,106,Guitar,23760,20,Electric Guitar (muted) _ 1
58.12128,0.06249599999999589,64,105,Guitar,23760,24,Electric Guitar (muted) _ 1
58.246272,0.08332800000000162,67,120,Guitar,23808,32,Electric Guitar (muted) _ 1
58.246272,0.09374400000000094,71,120,Guitar,23808,36,Electric Guitar (muted) _ 1
58.246272,0.09895199999999704,62,120,Guitar,23808,38,Electric Guitar (muted) _ 1
58.246272,0.09895199999999704,64,120,Guitar,23808,38,Electric Guitar (muted) _ 1
58.496255999999995,0.07812000000000552,62,120,Guitar,23904,30,Electric Guitar (muted) _ 1
58.496255999999995,0.08332800000000162,64,120,Guitar,23904,32,Electric Guitar (muted) _ 1
58.496255999999995,0.08332800000000162,67,120,Guitar,23904,32,Electric Guitar (muted) _ 1
58.496255999999995,0.08853600000000483,71,120,Guitar,23904,34,Electric Guitar (muted) _ 1
58.74624,0.08332799999999452,64,120,Guitar,24000,32,Electric Guitar (muted) _ 1
58.74624,0.08332799999999452,67,120,Guitar,24000,32,Electric Guitar (muted) _ 1
58.74624,0.08853599999999773,62,120,Guitar,24000,34,Electric Guitar (muted) _ 1
58.74624,0.08853599999999773,71,120,Guitar,24000,34,Electric Guitar (muted) _ 1
58.996224,0.09374400000000094,64,123,Guitar,24096,36,Electric Guitar (muted) _ 1
58.996224,0.09374400000000094,71,123,Guitar,24096,36,Electric Guitar (muted) _ 1
58.996224,0.12499199999999888,62,123,Guitar,24096,48,Electric Guitar (muted) _ 1
58.996224,0.12499199999999888,67,123,Guitar,24096,48,Electric Guitar (muted) _ 1
59.246207999999996,0.03124800000000505,57,114,Guitar,24192,12,Electric Guitar (muted) _ 1
59.246207999999996,0.062496000000002994,46,114,Guitar,24192,24,Electric Guitar (muted) _ 1
59.371199999999995,0.03124800000000505,46,108,Guitar,24240,12,Electric Guitar (muted) _ 1
59.371199999999995,0.03124800000000505,64,108,Guitar,24240,12,Electric Guitar (muted) _ 1
59.371199999999995,0.041664000000004364,57,108,Guitar,24240,16,Electric Guitar (muted) _ 1
59.371199999999995,0.05208000000000368,52,108,Guitar,24240,20,Electric Guitar (muted) _ 1
59.371199999999995,0.062496000000002994,60,108,Guitar,24240,24,Electric Guitar (muted) _ 1
59.496192,0.0677039999999991,52,110,Guitar,24288,26,Electric Guitar (muted) _ 1
59.496192,0.0729119999999952,57,110,Guitar,24288,28,Electric Guitar (muted) _ 1
59.496192,0.0729119999999952,60,110,Guitar,24288,28,Electric Guitar (muted) _ 1
59.496192,0.09374399999999383,64,110,Guitar,24288,36,Electric Guitar (muted) _ 1
59.621184,0.08853599999999773,52,114,Guitar,24336,34,Electric Guitar (muted) _ 1
59.621184,0.09374400000000094,60,114,Guitar,24336,36,Electric Guitar (muted) _ 1
59.621184,0.09374400000000094,64,114,Guitar,24336,36,Electric Guitar (muted) _ 1
59.621184,0.1406160000000014,57,114,Guitar,24336,54,Electric Guitar (muted) _ 1
59.746176,0.09374400000000094,62,117,Guitar,24384,36,Electric Guitar (muted) _ 1
59.746176,0.10416000000000025,59,117,Guitar,24384,40,Electric Guitar (muted) _ 1
59.746176,0.11457599999999957,50,117,Guitar,24384,44,Electric Guitar (muted) _ 1
59.871168,0.12499199999999888,57,123,Guitar,24432,48,Electric Guitar (muted) _ 1
59.871168,0.1354079999999982,60,123,Guitar,24432,52,Electric Guitar (muted) _ 1
59.871168,0.15623999999999683,52,123,Guitar,24432,60,Electric Guitar (muted) _ 1
59.871168,0.15623999999999683,64,123,Guitar,24432,60,Electric Guitar (muted) _ 1
60.121151999999995,0.03124800000000505,64,118,Guitar,24528,12,Electric Guitar (muted) _ 1
60.246143999999994,0.0624960000000101,71,101,Guitar,24576,24,Electric Guitar (muted) _ 1
60.246143999999994,0.0677040000000062,64,103,Guitar,24576,26,Electric Guitar (muted) _ 1
60.246143999999994,0.07291200000000231,62,104,Guitar,24576,28,Electric Guitar (muted) _ 1
60.246143999999994,0.07291200000000231,67,104,Guitar,24576,28,Electric Guitar (muted) _ 1
60.371136,0.06770399999999199,62,120,Guitar,24624,26,Electric Guitar (muted) _ 1
60.371136,0.07291200000000231,67,120,Guitar,24624,28,Electric Guitar (muted) _ 1
60.371136,0.07291200000000231,71,120,Guitar,24624,28,Electric Guitar (muted) _ 1
60.371136,0.08332799999999452,64,120,Guitar,24624,32,Electric Guitar (muted) _ 1
60.49612799999999,0.04166400000001147,62,84,Guitar,24672,16,Electric Guitar (muted) _ 1
60.49612799999999,0.046872000000007574,64,84,Guitar,24672,18,Electric Guitar (muted) _ 1
60.62112,0.04166399999999726,62,94,Guitar,24720,16,Electric Guitar (muted) _ 1
60.62112,0.05208000000000368,64,94,Guitar,24720,20,Electric Guitar (muted) _ 1
60.746112000000004,0.06249599999999589,71,108,Guitar,24768,24,Electric Guitar (muted) _ 1
60.746112000000004,0.0729119999999881,67,108,Guitar,24768,28,Electric Guitar (muted) _ 1
