time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.0,0.72,36,127,WinJammer Demo,0,576,Synth Bass 2 _ 1
0.72,0.48,40,127,WinJammer Demo,576,384,Synth Bass 2 _ 1
1.2,0.6287500000000001,43,127,WinJammer Demo,960,503,Synth Bass 2 _ 1
1.92,0.7200000000000002,38,127,WinJammer Demo,1536,576,Synth Bass 2 _ 1
2.64,0.48,45,127,WinJammer Demo,2112,384,Synth Bass 2 _ 1
3.12,0.4987499999999998,47,127,WinJammer Demo,2496,399,Synth Bass 2 _ 1
3.84,0.4800000000000004,36,127,WinJammer Demo,3072,384,Synth Bass 2 _ 1
4.32,0.2400000000000002,36,127,WinJammer Demo,3456,192,Synth Bass 2 _ 1
4.5600000000000005,0.7487499999999994,40,127,WinJammer Demo,3648,599,Synth Bass 2 _ 1
5.76,0.4800000000000004,36,127,WinJammer Demo,4608,384,Synth Bass 2 _ 1
6.24,0.2400000000000002,36,127,WinJammer Demo,4992,192,Synth Bass 2 _ 1
6.48,0.7487499999999994,40,127,WinJammer Demo,5184,599,Synth Bass 2 _ 1
7.68,0.7200000000000006,36,127,WinJammer Demo,6144,576,Synth Bass 2 _ 1
8.4,0.47999999999999865,40,127,WinJammer Demo,6720,384,Synth Bass 2 _ 1
8.879999999999999,0.6287500000000001,43,127,WinJammer Demo,7104,503,Synth Bass 2 _ 1
9.6,0.7200000000000006,38,127,WinJammer Demo,7680,576,Synth Bass 2 _ 1
10.32,0.4800000000000004,45,127,WinJammer Demo,8256,384,Synth Bass 2 _ 1
10.8,0.49874999999999936,47,127,WinJammer Demo,8640,399,Synth Bass 2 _ 1
11.52,0.4800000000000004,36,127,WinJammer Demo,9216,384,Synth Bass 2 _ 1
12.0,0.2400000000000002,36,127,WinJammer Demo,9600,192,Synth Bass 2 _ 1
12.24,0.7487499999999994,40,127,WinJammer Demo,9792,599,Synth Bass 2 _ 1
13.44,0.4800000000000004,36,127,WinJammer Demo,10752,384,Synth Bass 2 _ 1
13.92,0.2400000000000002,36,127,WinJammer Demo,11136,192,Synth Bass 2 _ 1
14.16,0.7487499999999994,40,127,WinJammer Demo,11328,599,Synth Bass 2 _ 1
15.36,0.7199999999999989,36,127,WinJammer Demo,12288,576,Synth Bass 2 _ 1
16.08,0.480000000000004,40,127,WinJammer Demo,12864,384,Synth Bass 2 _ 1
16.560000000000002,0.6287499999999966,43,127,WinJammer Demo,13248,503,Synth Bass 2 _ 1
17.28,0.7199999999999989,38,127,WinJammer Demo,13824,576,Synth Bass 2 _ 1
18.0,0.4800000000000004,45,127,WinJammer Demo,14400,384,Synth Bass 2 _ 1
18.48,0.4800000000000004,47,127,WinJammer Demo,14784,384,Synth Bass 2 _ 1
19.2,0.4800000000000004,36,127,WinJammer Demo,15360,384,Synth Bass 2 _ 1
19.68,0.240000000000002,36,127,WinJammer Demo,15744,192,Synth Bass 2 _ 1
19.92,0.7487499999999976,40,127,WinJammer Demo,15936,599,Synth Bass 2 _ 1
21.119999999999997,0.480000000000004,36,127,WinJammer Demo,16896,384,Synth Bass 2 _ 1
21.6,0.23999999999999844,36,127,WinJammer Demo,17280,192,Synth Bass 2 _ 1
21.84,0.7487499999999976,40,127,WinJammer Demo,17472,599,Synth Bass 2 _ 1
23.04,0.7200000000000024,36,127,WinJammer Demo,18432,576,Synth Bass 2 _ 1
23.76,0.4799999999999969,40,127,WinJammer Demo,19008,384,Synth Bass 2 _ 1
24.24,0.6287500000000001,43,127,WinJammer Demo,19392,503,Synth Bass 2 _ 1
24.96,0.7199999999999989,38,127,WinJammer Demo,19968,576,Synth Bass 2 _ 1
25.68,0.4800000000000004,45,127,WinJammer Demo,20544,384,Synth Bass 2 _ 1
26.16,0.4800000000000004,47,127,WinJammer Demo,20928,384,Synth Bass 2 _ 1
26.88,0.4800000000000004,36,127,WinJammer Demo,21504,384,Synth Bass 2 _ 1
27.36,0.240000000000002,36,127,WinJammer Demo,21888,192,Synth Bass 2 _ 1
27.6,0.7487499999999976,40,127,WinJammer Demo,22080,599,Synth Bass 2 _ 1
28.8,0.4800000000000004,36,127,WinJammer Demo,23040,384,Synth Bass 2 _ 1
29.28,0.23999999999999844,36,127,WinJammer Demo,23424,192,Synth Bass 2 _ 1
29.52,0.7487500000000011,40,127,WinJammer Demo,23616,599,Synth Bass 2 _ 1
30.72,0.7200000000000024,36,127,WinJammer Demo,24576,576,Synth Bass 2 _ 1
31.44,0.4800000000000004,40,127,WinJammer Demo,25152,384,Synth Bass 2 _ 1
31.92,0.6287499999999966,43,127,WinJammer Demo,25536,503,Synth Bass 2 _ 1
32.64,0.7199999999999989,38,127,WinJammer Demo,26112,576,Synth Bass 2 _ 1
33.36,0.480000000000004,45,127,WinJammer Demo,26688,384,Synth Bass 2 _ 1
33.84,0.4799999999999969,47,127,WinJammer Demo,27072,384,Synth Bass 2 _ 1
34.56,0.4799999999999969,36,127,WinJammer Demo,27648,384,Synth Bass 2 _ 1
35.04,0.240000000000002,36,127,WinJammer Demo,28032,192,Synth Bass 2 _ 1
35.28,0.7487500000000011,40,127,WinJammer Demo,28224,599,Synth Bass 2 _ 1
36.480000000000004,0.4799999999999969,36,127,WinJammer Demo,29184,384,Synth Bass 2 _ 1
36.96,0.240000000000002,36,127,WinJammer Demo,29568,192,Synth Bass 2 _ 1
37.2,0.7487500000000011,40,127,WinJammer Demo,29760,599,Synth Bass 2 _ 1
38.4,0.720000000000006,36,127,WinJammer Demo,30720,576,Synth Bass 2 _ 1
39.120000000000005,0.4799999999999969,40,127,WinJammer Demo,31296,384,Synth Bass 2 _ 1
39.6,0.6287499999999966,43,127,WinJammer Demo,31680,503,Synth Bass 2 _ 1
40.32,0.7199999999999989,38,127,WinJammer Demo,32256,576,Synth Bass 2 _ 1
41.04,0.480000000000004,45,127,WinJammer Demo,32832,384,Synth Bass 2 _ 1
41.52,0.4799999999999969,47,127,WinJammer Demo,33216,384,Synth Bass 2 _ 1
42.24,0.4799999999999969,36,127,WinJammer Demo,33792,384,Synth Bass 2 _ 1
42.72,0.240000000000002,36,127,WinJammer Demo,34176,192,Synth Bass 2 _ 1
42.96,0.7487500000000011,40,127,WinJammer Demo,34368,599,Synth Bass 2 _ 1
44.160000000000004,0.4799999999999969,36,127,WinJammer Demo,35328,384,Synth Bass 2 _ 1
44.64,0.240000000000002,36,127,WinJammer Demo,35712,192,Synth Bass 2 _ 1
44.88,0.7487500000000011,40,127,WinJammer Demo,35904,599,Synth Bass 2 _ 1
46.08,0.7199999999999989,36,127,WinJammer Demo,36864,576,Synth Bass 2 _ 1
46.8,0.480000000000004,40,127,WinJammer Demo,37440,384,Synth Bass 2 _ 1
47.28,0.6287499999999966,43,127,WinJammer Demo,37824,503,Synth Bass 2 _ 1
48.0,0.7199999999999989,38,127,WinJammer Demo,38400,576,Synth Bass 2 _ 1
48.72,0.480000000000004,45,127,WinJammer Demo,38976,384,Synth Bass 2 _ 1
49.2,0.4799999999999969,47,127,WinJammer Demo,39360,384,Synth Bass 2 _ 1
49.92,0.4799999999999969,36,127,WinJammer Demo,39936,384,Synth Bass 2 _ 1
50.4,0.240000000000002,36,127,WinJammer Demo,40320,192,Synth Bass 2 _ 1
50.64,0.7487500000000011,40,127,WinJammer Demo,40512,599,Synth Bass 2 _ 1
51.84,0.4799999999999969,36,127,WinJammer Demo,41472,384,Synth Bass 2 _ 1
52.32,0.240000000000002,36,127,WinJammer Demo,41856,192,Synth Bass 2 _ 1
52.56,0.7487500000000011,40,127,WinJammer Demo,42048,599,Synth Bass 2 _ 1
53.76,0.720000000000006,36,127,WinJammer Demo,43008,576,Synth Bass 2 _ 1
54.480000000000004,0.4799999999999969,40,127,WinJammer Demo,43584,384,Synth Bass 2 _ 1
54.96,0.6287499999999966,43,127,WinJammer Demo,43968,503,Synth Bass 2 _ 1
55.68,0.7199999999999989,38,127,WinJammer Demo,44544,576,Synth Bass 2 _ 1
56.4,0.480000000000004,45,127,WinJammer Demo,45120,384,Synth Bass 2 _ 1
56.88,0.4799999999999969,47,127,WinJammer Demo,45504,384,Synth Bass 2 _ 1
57.6,0.4799999999999969,36,127,WinJammer Demo,46080,384,Synth Bass 2 _ 1
58.08,0.240000000000002,36,127,WinJammer Demo,46464,192,Synth Bass 2 _ 1
58.32,0.7487500000000011,40,127,WinJammer Demo,46656,599,Synth Bass 2 _ 1
59.52,0.4799999999999969,36,127,WinJammer Demo,47616,384,Synth Bass 2 _ 1
60.0,0.240000000000002,36,127,WinJammer Demo,48000,192,Synth Bass 2 _ 1
60.24,0.7487500000000011,40,127,WinJammer Demo,48192,599,Synth Bass 2 _ 1
61.44,0.5600000000000023,45,127,WinJammer Demo,49152,448,Synth Bass 2 _ 1
62.64,0.240000000000002,47,127,WinJammer Demo,50112,192,Synth Bass 2 _ 1
62.88,0.4799999999999969,45,127,WinJammer Demo,50304,384,Synth Bass 2 _ 1
63.36,0.6287500000000037,43,127,WinJammer Demo,50688,503,Synth Bass 2 _ 1
64.32,0.4800000000000182,43,127,WinJammer Demo,51456,384,Synth Bass 2 _ 1
64.80000000000001,0.47999999999998977,45,127,WinJammer Demo,51840,384,Synth Bass 2 _ 1
65.28,0.5600000000000023,45,127,WinJammer Demo,52224,448,Synth Bass 2 _ 1
66.48,0.23999999999999488,47,127,WinJammer Demo,53184,192,Synth Bass 2 _ 1
66.72,0.480000000000004,45,127,WinJammer Demo,53376,384,Synth Bass 2 _ 1
67.2,0.6287499999999966,43,127,WinJammer Demo,53760,503,Synth Bass 2 _ 1
68.16,0.480000000000004,43,127,WinJammer Demo,54528,384,Synth Bass 2 _ 1
68.64,0.480000000000004,45,127,WinJammer Demo,54912,384,Synth Bass 2 _ 1
69.12,0.7199999999999989,33,127,WinJammer Demo,55296,576,Synth Bass 2 _ 1
69.84,1.1212500000000034,33,127,WinJammer Demo,55872,897,Synth Bass 2 _ 1
71.03999999999999,0.4800000000000182,43,127,WinJammer Demo,56832,384,Synth Bass 2 _ 1
71.52000000000001,0.47999999999998977,45,127,WinJammer Demo,57216,384,Synth Bass 2 _ 1
72.0,0.9424999999999955,36,127,WinJammer Demo,57600,754,Synth Bass 2 _ 1
72.96000000000001,0.8400000000000034,38,127,WinJammer Demo,58368,672,Synth Bass 2 _ 1
74.88,0.8400000000000034,38,127,WinJammer Demo,59904,672,Synth Bass 2 _ 1
75.84,0.2400000000000091,38,127,WinJammer Demo,60672,192,Synth Bass 2 _ 1
76.08000000000001,0.23999999999998067,36,127,WinJammer Demo,60864,192,Synth Bass 2 _ 1
