time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.0,0.72,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,0,576
0.72,0.48,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,576,384
1.2,0.6287500000000001,43,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,960,503
1.92,0.7200000000000002,38,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,1536,576
2.64,0.48,45,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,2112,384
3.12,0.4987499999999998,47,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,2496,399
3.84,0.4800000000000004,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,3072,384
4.32,0.2400000000000002,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,3456,192
4.5600000000000005,0.7487499999999994,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,3648,599
5.76,0.4800000000000004,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,4608,384
6.24,0.2400000000000002,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,4992,192
6.48,0.7487499999999994,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,5184,599
7.68,0.7200000000000006,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,6144,576
8.4,0.47999999999999865,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,6720,384
8.879999999999999,0.6287500000000001,43,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,7104,503
9.6,0.7200000000000006,38,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,7680,576
10.32,0.4800000000000004,45,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,8256,384
10.8,0.49874999999999936,47,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,8640,399
11.52,0.4800000000000004,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,9216,384
12.0,0.2400000000000002,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,9600,192
12.24,0.7487499999999994,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,9792,599
13.44,0.4800000000000004,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,10752,384
13.92,0.2400000000000002,36,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,11136,192
14.16,0.7487499999999994,40,127,WinJammer Demo,Synth Bass 2 _ 1,Synth Bass 2 _ 1,11328,599
