time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
1.5625,0.05859375,51,110,Std Drums,Drum Kit _ 1,Drum Kit _ 1,624,9
1.5625,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,624,9
1.875,0.05859375,51,110,Std Drums,Drum Kit _ 1,Drum Kit _ 1,672,9
1.875,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,672,9
3.90625,0.05859375,47,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,984,9
4.0625,0.05859375,47,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1008,9
4.375,0.05859375,47,110,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1056,9
4.53125,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1080,9
4.6875,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1104,9
5.0,0.05859375,49,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1152,9
5.0,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1152,9
5.3125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1200,9
5.625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1248,9
5.625,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1248,9
5.9375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1296,9
6.25,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1344,9
6.25,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1344,9
6.5625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1392,9
6.5625,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1392,9
6.875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1440,9
6.875,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1440,9
7.1875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1488,9
7.34375,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1512,9
7.5,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1536,9
7.5,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1536,9
7.65625,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1560,9
7.8125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1584,9
7.8125,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1584,9
8.125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1632,9
8.125,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1632,9
8.4375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1680,9
8.4375,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1680,9
8.75,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1728,9
8.75,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1728,9
9.0625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1776,9
9.0625,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1776,9
9.375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1824,9
9.375,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1824,9
9.6875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1872,9
9.6875,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1872,9
10.0,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1920,9
10.0,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1920,9
10.3125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1968,9
10.625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2016,9
10.625,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2016,9
10.9375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2064,9
11.25,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2112,9
11.25,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2112,9
11.5625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2160,9
11.875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2208,9
11.875,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2208,9
12.1875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2256,9
12.34375,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2280,9
12.5,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2304,9
12.5,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2304,9
12.8125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2352,9
13.125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2400,9
13.125,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2400,9
13.4375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2448,9
13.75,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2496,9
13.75,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2496,9
14.0625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2544,9
14.375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2592,9
14.375,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2592,9
14.6875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2640,9
15.0,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2688,9
15.0,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2688,9
15.3125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2736,9
15.625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2784,9
15.625,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2784,9
15.9375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2832,9
16.25,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2880,9
16.25,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2880,9
16.5625,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2928,9
16.875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2976,9
16.875,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2976,9
17.1875,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3024,9
17.5,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3072,9
17.5,0.05859375,35,111,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3072,9
17.8125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3120,9
18.125,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3168,9
18.125,0.05859375,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3168,9
18.4375,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3216,9
18.59375,0.05859375,38,94,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3240,9
18.75,0.05859375,42,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3264,9
