time_start_sec,duration_sec,pitch,velocity,track,time_start_tick,duration_tick,instrument
0.0,0.375,67,74,tk1,1536,96,Acoustic Grand Piano _ 1
0.0,0.375,60,74,tk1,1536,96,Acoustic Grand Piano _ 1
0.375,0.375,57,74,tk1,1632,96,Acoustic Grand Piano _ 1
0.75,0.375,67,74,tk1,1728,96,Acoustic Grand Piano _ 1
0.75,0.375,60,74,tk1,1728,96,Acoustic Grand Piano _ 1
1.125,0.375,57,74,tk1,1824,96,Acoustic Grand Piano _ 1
1.5,0.375,67,74,tk1,1920,96,Acoustic Grand Piano _ 1
1.5,0.375,60,74,tk1,1920,96,Acoustic Grand Piano _ 1
1.875,0.375,57,74,tk1,2016,96,Acoustic Grand Piano _ 1
2.25,0.375,67,74,tk1,2112,96,Acoustic Grand Piano _ 1
2.25,0.375,60,74,tk1,2112,96,Acoustic Grand Piano _ 1
2.625,0.375,57,74,tk1,2208,96,Acoustic Grand Piano _ 1
3.0,0.375,67,74,tk1,2304,96,Acoustic Grand Piano _ 1
3.0,0.375,60,74,tk1,2304,96,Acoustic Grand Piano _ 1
3.375,0.375,57,74,tk1,2400,96,Acoustic Grand Piano _ 1
3.75,0.375,67,74,tk1,2496,96,Acoustic Grand Piano _ 1
3.75,0.375,60,74,tk1,2496,96,Acoustic Grand Piano _ 1
4.125,0.375,57,74,tk1,2592,96,Acoustic Grand Piano _ 1
4.5,0.375,67,74,tk1,2688,96,Acoustic Grand Piano _ 1
4.5,0.375,60,74,tk1,2688,96,Acoustic Grand Piano _ 1
4.875,0.375,57,74,tk1,2784,96,Acoustic Grand Piano _ 1
5.25,0.375,67,74,tk1,2880,96,Acoustic Grand Piano _ 1
5.25,0.375,60,74,tk1,2880,96,Acoustic Grand Piano _ 1
5.625,0.375,57,74,tk1,2976,96,Acoustic Grand Piano _ 1
6.0,0.375,67,74,tk1,3072,96,Acoustic Grand Piano _ 1
6.0,0.375,60,74,tk1,3072,96,Acoustic Grand Piano _ 1
6.375,0.375,57,74,tk1,3168,96,Acoustic Grand Piano _ 1
6.75,0.375,67,74,tk1,3264,96,Acoustic Grand Piano _ 1
6.75,0.375,60,74,tk1,3264,96,Acoustic Grand Piano _ 1
7.125,0.375,57,74,tk1,3360,96,Acoustic Grand Piano _ 1
7.5,0.375,67,74,tk1,3456,96,Acoustic Grand Piano _ 1
7.5,0.375,60,74,tk1,3456,96,Acoustic Grand Piano _ 1
7.875,0.375,57,74,tk1,3552,96,Acoustic Grand Piano _ 1
8.25,0.375,67,74,tk1,3648,96,Acoustic Grand Piano _ 1
8.25,0.375,60,74,tk1,3648,96,Acoustic Grand Piano _ 1
8.625,0.375,57,74,tk1,3744,96,Acoustic Grand Piano _ 1
6.0,3.0,45,80,tk1,3072,768,Acoustic Grand Piano _ 1
9.0,0.375,65,74,tk1,3840,96,Acoustic Grand Piano _ 1
9.0,0.375,62,74,tk1,3840,96,Acoustic Grand Piano _ 1
9.375,0.375,57,74,tk1,3936,96,Acoustic Grand Piano _ 1
9.75,0.375,65,74,tk1,4032,96,Acoustic Grand Piano _ 1
9.75,0.375,62,74,tk1,4032,96,Acoustic Grand Piano _ 1
10.125,0.375,57,74,tk1,4128,96,Acoustic Grand Piano _ 1
10.5,0.375,67,74,tk1,4224,96,Acoustic Grand Piano _ 1
10.5,0.375,64,74,tk1,4224,96,Acoustic Grand Piano _ 1
10.875,0.375,57,74,tk1,4320,96,Acoustic Grand Piano _ 1
11.25,0.375,67,74,tk1,4416,96,Acoustic Grand Piano _ 1
11.25,0.375,64,74,tk1,4416,96,Acoustic Grand Piano _ 1
11.8125,0.1875,38,74,tk1,4560,48,Acoustic Grand Piano _ 1
11.625,0.375,57,74,tk1,4512,96,Acoustic Grand Piano _ 1
12.0,0.375,69,74,tk1,4608,96,Acoustic Grand Piano _ 1
12.0,0.375,65,74,tk1,4608,96,Acoustic Grand Piano _ 1
12.375,0.375,57,74,tk1,4704,96,Acoustic Grand Piano _ 1
12.75,0.375,69,74,tk1,4800,96,Acoustic Grand Piano _ 1
12.75,0.375,65,74,tk1,4800,96,Acoustic Grand Piano _ 1
13.125,0.375,57,74,tk1,4896,96,Acoustic Grand Piano _ 1
13.5,0.375,67,74,tk1,4992,96,Acoustic Grand Piano _ 1
13.5,0.375,64,74,tk1,4992,96,Acoustic Grand Piano _ 1
13.875,0.375,57,74,tk1,5088,96,Acoustic Grand Piano _ 1
12.0,2.25,38,80,tk1,4608,576,Acoustic Grand Piano _ 1
14.25,0.375,65,74,tk1,5184,96,Acoustic Grand Piano _ 1
14.25,0.375,62,74,tk1,5184,96,Acoustic Grand Piano _ 1
14.8125,0.1875,43,74,tk1,5328,48,Acoustic Grand Piano _ 1
14.625,0.375,57,74,tk1,5280,96,Acoustic Grand Piano _ 1
15.0,0.375,65,74,tk1,5376,96,Acoustic Grand Piano _ 1
15.0,0.375,59,74,tk1,5376,96,Acoustic Grand Piano _ 1
15.375,0.375,55,74,tk1,5472,96,Acoustic Grand Piano _ 1
15.75,0.375,65,74,tk1,5568,96,Acoustic Grand Piano _ 1
15.75,0.375,59,74,tk1,5568,96,Acoustic Grand Piano _ 1
16.125,0.375,55,74,tk1,5664,96,Acoustic Grand Piano _ 1
16.5,0.375,65,74,tk1,5760,96,Acoustic Grand Piano _ 1
16.5,0.375,59,74,tk1,5760,96,Acoustic Grand Piano _ 1
15.0,2.25,43,80,tk1,5376,576,Acoustic Grand Piano _ 1
16.875,0.375,55,74,tk1,5856,96,Acoustic Grand Piano _ 1
17.25,0.375,65,74,tk1,5952,96,Acoustic Grand Piano _ 1
17.25,0.375,59,74,tk1,5952,96,Acoustic Grand Piano _ 1
17.8125,0.1875,43,74,tk1,6096,48,Acoustic Grand Piano _ 1
17.625,0.375,55,74,tk1,6048,96,Acoustic Grand Piano _ 1
18.0,0.375,65,74,tk1,6144,96,Acoustic Grand Piano _ 1
