time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.0,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1536,96
0.0,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1536,96
0.375,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1632,96
0.75,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1728,96
0.75,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1728,96
1.125,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1824,96
1.5,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1920,96
1.5,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,1920,96
1.875,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2016,96
2.25,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2112,96
2.25,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2112,96
2.625,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2208,96
3.0,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2304,96
3.0,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2304,96
3.375,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2400,96
3.75,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2496,96
3.75,0.375,60,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2496,96
4.125,0.375,57,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2592,96
4.5,0.375,67,74,tk1,Acoustic Grand Piano _ 1,Acoustic Grand Piano _ 1,2688,96
