time_start_sec,duration_sec,pitch,velocity,track,instrument,track_new,time_start_tick,duration_tick
0.0,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,480,11
0.375,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,540,11
0.75,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,600,11
1.125,0.06875000000000009,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,660,11
1.125,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,660,11
1.5,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,720,11
1.875,0.06875000000000009,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,780,11
2.25,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,840,11
2.625,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,900,11
3.0,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,960,11
3.375,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1020,11
3.375,0.06874999999999964,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1020,11
3.75,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1080,11
4.125,0.06875000000000053,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1140,11
4.5,0.06875000000000053,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1200,11
4.875,0.06875000000000053,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1260,11
5.25,0.06875000000000053,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1320,11
5.625,0.06875000000000053,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1380,11
5.625,0.06875000000000053,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1380,11
5.625,0.06875000000000053,42,105,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1380,11
6.0,0.06875000000000142,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1440,11
6.0,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1440,11
6.0,0.06875000000000142,42,90,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1440,11
6.375,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1500,11
6.375,0.06875000000000142,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1500,11
6.375,0.06875000000000142,42,90,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1500,11
6.75,0.06875000000000142,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1560,11
6.75,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1560,11
6.75,0.06875000000000142,42,105,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1560,11
7.125,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1620,11
7.5,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1680,11
7.875,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1740,11
7.875,0.06875000000000142,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1740,11
8.25,0.06874999999999964,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1800,11
8.25,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1800,11
8.25,0.06874999999999964,42,90,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1800,11
8.625,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1860,11
8.625,0.06874999999999964,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1860,11
8.625,0.06874999999999964,42,90,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1860,11
9.0,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1920,11
9.0,0.06874999999999964,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1920,11
9.0,0.06874999999999964,42,105,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1920,11
9.375,0.06874999999999964,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,1980,11
9.75,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2040,11
10.125,0.06875000000000142,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2100,11
10.125,0.06875000000000142,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2100,11
15.649999999999999,0.054999999999999716,45,110,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2880,11
15.649999999999999,0.054999999999999716,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2880,11
15.649999999999999,0.054999999999999716,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2880,11
15.95,0.054999999999999716,45,110,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2940,11
15.95,0.054999999999999716,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2940,11
15.95,0.054999999999999716,35,120,Std Drums,Drum Kit _ 1,Drum Kit _ 1,2940,11
16.25,0.054999999999999716,38,100,Std Drums,Drum Kit _ 1,Drum Kit _ 1,3000,11
